Cliente;Tipo de Cliente;Itens;Vendas Líquidas ($);Método de Pagamento;Gênero;Estado Civil;Idade;Região
147;1Compra;5.54;65;MasterCard;Feminino;Casado(a);28;Guarapuava
148;Retorno;7.99;95;Boleto;Feminino;Casado(a);28;Toledo
149;Regular;4.21;105;Visa;Feminino;Solteiro(a);33;Curitiba0
150;1Compra;4.97;61;Boleto;Masculino;Casado(a);43;Toledo
151;Regular;4.07;113;Boleto;Feminino;Casado(a);37;Pato Branco
152;1Compra;7.75;85;Boleto;Feminino;Solteiro(a);44;Guarapuava
153;Regular;4.45;119;Boleto;Feminino;Casado(a);29;Francisco Beltrão
154;1Compra;5.08;53;Boleto;Feminino;Casado(a);42;Toledo
155;1Compra;7.15;33;Boleto;Feminino;Casado(a);25;Londrina
156;1Compra;6.77;51;Boleto;Feminino;Casado(a);26;Maringá
157;Retorno;7.29;140;Visa;Feminino;Solteiro(a);31;Londrina
158;Retorno;6.95;82;Boleto;Feminino;Solteiro(a);31;Pato Branco
159;Regular;4.39;122;Visa;Feminino;Casado(a);28;Foz do Iguaçu
160;Regular;4.58;55;Boleto;Feminino;Solteiro(a);37;Colombo
161;1Compra;7.07;121;Boleto;Feminino;Casado(a);33;Francisco Beltrão
162;Retorno;6.56;87;Boleto;Feminino;Casado(a);30;Guarapuava
163;Retorno;4.74;146;Visa;Feminino;Casado(a);28;Francisco Beltrão
164;Retorno;5.67;41;Boleto;Feminino;Solteiro(a);31;Francisco Beltrão
165;Regular;6.26;91;Boleto;Feminino;Casado(a);24;Colombo
166;Retorno;6.9;95;MasterCard;Feminino;Casado(a);35;Guarapuava
167;1Compra;6.27;105;Boleto;Feminino;Casado(a);32;Francisco Beltrão
168;Regular;4.77;62;Boleto;Feminino;Solteiro(a);27;Toledo
169;Regular;7.93;104;Boleto;Feminino;Casado(a);30;Guarapuava
170;1Compra;6.83;57;Visa;Feminino;Solteiro(a);33;Foz do Iguaçu
171;1Compra;6.17;75;Boleto;Feminino;Solteiro(a);42;Foz do Iguaçu
172;1Compra;7.24;50;Boleto;Feminino;Casado(a);29;Toledo
173;Retorno;7.27;58;Boleto;Feminino;Solteiro(a);34;Pato Branco
174;1Compra;5.1;22;MasterCard;Feminino;Casado(a);28;Francisco Beltrão
175;Retorno;4.76;26;Boleto;Feminino;Casado(a);24;Foz do Iguaçu
176;Regular;7.52;19;MasterCard;Feminino;Casado(a);34;Maringá
177;Retorno;4.51;40;Boleto;Feminino;Casado(a);24;Guarapuava
178;Retorno;4.29;57;Boleto;Feminino;Casado(a);40;Toledo
179;1Compra;7.1;55;Boleto;Feminino;Casado(a);48;Francisco Beltrão
180;Regular;7;75;Boleto;Feminino;Solteiro(a);31;Maringá
181;1Compra;8;28;Boleto;Feminino;Casado(a);37;Guarapuava
182;1Compra;7.75;43;Boleto;Feminino;Solteiro(a);35;Francisco Beltrão
183;Regular;7.67;23;Boleto;Feminino;Casado(a);34;Foz do Iguaçu
184;Regular;6.35;57;Boleto;Feminino;Solteiro(a);46;Colombo
185;1Compra;6.05;68;Boleto;Feminino;Casado(a);46;Curitiba0
186;1Compra;6.75;42;Boleto;Feminino;Casado(a);47;Colombo
187;Retorno;6.01;16;Boleto;Feminino;Solteiro(a);31;Londrina
188;Retorno;4.63;49;Boleto;Feminino;Solteiro(a);42;Guarapuava
189;Retorno;4.2;60;Visa;Feminino;Casado(a);37;Foz do Iguaçu
190;Retorno;7.24;59;Boleto;Feminino;Solteiro(a);35;Pato Branco
191;Retorno;6.74;83;Boleto;Feminino;Casado(a);28;CuritibaMaringá
192;Retorno;6.98;60;Boleto;Feminino;Solteiro(a);38;Guarapuava
193;1Compra;7.02;47;Boleto;Feminino;Solteiro(a);31;Guarapuava
194;Regular;4.66;71;Boleto;Masculino;Solteiro(a);35;Maringá
195;Retorno;7.62;66;Boleto;Feminino;Solteiro(a);27;Pato Branco
196;1Compra;5.56;77;Boleto;Feminino;Casado(a);31;Guarapuava
197;1Compra;4.85;32;Boleto;Feminino;Solteiro(a);32;Guarapuava
198;1Compra;4.87;95;Boleto;Feminino;Casado(a);27;Toledo
199;1Compra;5.39;31;Visa;Feminino;Casado(a);37;Foz do Iguaçu
200;Regular;5.35;61;Boleto;Feminino;Casado(a);27;Curitiba0
201;Retorno;5.25;75;Boleto;Feminino;Casado(a);31;Pato Branco
202;Retorno;7.26;69;Boleto;Feminino;Solteiro(a);29;Foz do Iguaçu
203;Retorno;6.83;39;Boleto;Feminino;Casado(a);35;Guarapuava
204;Retorno;5.14;43;Boleto;Feminino;Casado(a);33;Francisco Beltrão
205;Regular;7.67;53;Boleto;Feminino;Solteiro(a);37;Guarapuava
206;1Compra;4.21;87;Boleto;Feminino;Casado(a);31;Francisco Beltrão
207;Retorno;6.89;33;Boleto;Feminino;Solteiro(a);26;Guarapuava
208;1Compra;5.86;60;Boleto;Feminino;Solteiro(a);40;Colombo
209;1Compra;6.12;65;Boleto;Feminino;Casado(a);32;Toledo
210;Regular;5.08;57;Boleto;Feminino;Solteiro(a);33;Guarapuava
211;Retorno;5.22;59;Boleto;Feminino;Casado(a);30;Guarapuava
212;1Compra;7.26;18;Boleto;Feminino;Casado(a);30;Francisco Beltrão
213;1Compra;7.21;42;Boleto;Masculino;Solteiro(a);31;Toledo
214;Retorno;6.75;55;Boleto;Feminino;Casado(a);33;Pato Branco
215;1Compra;7.07;39;Boleto;Feminino;Casado(a);34;Guarapuava
216;Retorno;7.84;67;Boleto;Feminino;Casado(a);37;Colombo
217;Regular;6.53;90;Visa;Feminino;Casado(a);28;Pato Branco
218;1Compra;6.94;33;Boleto;Feminino;Casado(a);36;Guarapuava
219;Retorno;7.92;24;Boleto;Feminino;Casado(a);26;Pato Branco
220;Retorno;5.52;50;Visa;Feminino;Casado(a);35;Foz do Iguaçu
221;1Compra;7.45;80;Boleto;Feminino;Solteiro(a);39;Curitiba0
222;Retorno;6.28;23;Boleto;Feminino;Casado(a);39;CuritibaCuritiba
223;Regular;7.54;22;Boleto;Feminino;Solteiro(a);28;Francisco Beltrão
224;Retorno;5.81;39;Boleto;Feminino;Solteiro(a);31;Francisco Beltrão
225;Retorno;4.92;65;Boleto;Feminino;Casado(a);41;Guarapuava
226;Regular;8.13;13;Boleto;Masculino;Casado(a);32;Francisco Beltrão
227;Retorno;5.17;81;Boleto;Feminino;Solteiro(a);29;Guarapuava
228;Retorno;6.86;83;Boleto;Feminino;Solteiro(a);31;Guarapuava
229;Retorno;6.88;24;Boleto;Feminino;Solteiro(a);24;Foz do Iguaçu
230;Retorno;5.55;86;Boleto;Feminino;Solteiro(a);37;Toledo
231;Retorno;5.37;61;Boleto;Feminino;Casado(a);36;Francisco Beltrão
232;Retorno;4.39;68;Boleto;Feminino;Solteiro(a);26;Foz do Iguaçu
233;Regular;7.96;35;MasterCard;Masculino;Solteiro(a);30;Pato Branco
234;Retorno;5.19;37;Boleto;Feminino;Casado(a);46;Pato Branco
235;1Compra;7.4;33;Boleto;Feminino;Solteiro(a);44;Guarapuava
236;Retorno;5.68;20;Boleto;Feminino;Casado(a);30;Toledo
237;Retorno;8.04;65;Boleto;Feminino;Solteiro(a);52;Guarapuava
238;Regular;7.63;86;Boleto;Masculino;Solteiro(a);30;Francisco Beltrão
239;Retorno;7.29;83;Boleto;Feminino;Solteiro(a);44;Pato Branco
240;Retorno;7.68;22;Boleto;Feminino;Solteiro(a);29;Pato Branco
241;Retorno;6.35;30;Boleto;Feminino;Casado(a);25;Maringá
242;1Compra;6.87;59;Boleto;Feminino;Solteiro(a);33;Francisco Beltrão
243;Retorno;5.66;43;Boleto;Feminino;Casado(a);27;Toledo
244;1Compra;4.49;38;Boleto;Feminino;Solteiro(a);27;Guarapuava
245;Retorno;7.64;57;Boleto;Feminino;Solteiro(a);27;Curitiba0
246;Regular;5.6;80;MasterCard;Feminino;Casado(a);28;Pato Branco
247;Retorno;4.43;24;MasterCard;Feminino;Casado(a);27;Colombo
248;Retorno;7.16;68;Boleto;Feminino;Casado(a);25;Francisco Beltrão
249;Regular;7.18;42;Boleto;Feminino;Casado(a);30;CuritibaCuritiba
250;Retorno;6.71;110;Boleto;Feminino;Solteiro(a);43;Toledo
251;Retorno;6.68;60;Boleto;Feminino;Casado(a);26;Guarapuava
252;1Compra;5.08;58;Boleto;Feminino;Casado(a);44;Maringá
253;Retorno;7.11;51;MasterCard;Feminino;Casado(a);37;Toledo
254;Retorno;6.85;71;Boleto;Masculino;Casado(a);24;Foz do Iguaçu
255;1Compra;7.49;135;Visa;Feminino;Solteiro(a);27;Francisco Beltrão
256;Retorno;4.06;75;Boleto;Feminino;Solteiro(a);39;Toledo
257;Regular;6.76;93;Boleto;Feminino;Casado(a);24;Toledo
258;Retorno;7.77;42;Boleto;Feminino;Casado(a);40;Colombo
259;Regular;5.59;123;Boleto;Feminino;Solteiro(a);53;Colombo
260;Retorno;6.12;54;Boleto;Feminino;Solteiro(a);47;Guarapuava
261;1Compra;7.7;78;Boleto;Feminino;Casado(a);38;Londrina
262;Retorno;7.87;75;Boleto;Feminino;Casado(a);43;Colombo
263;Retorno;6.43;107;Boleto;Feminino;Casado(a);28;Toledo
264;Regular;6.28;49;Boleto;Feminino;Solteiro(a);31;Guarapuava
265;Retorno;7.92;67;Visa;Feminino;Casado(a);34;Toledo
266;Retorno;5.98;114;Boleto;Feminino;Casado(a);55;Foz do Iguaçu
267;1Compra;5.07;80;Boleto;Feminino;Casado(a);57;CuritibaCuritiba
268;1Compra;7.32;34;Boleto;Masculino;Solteiro(a);27;Guarapuava
269;Retorno;6.03;68;Boleto;Feminino;Solteiro(a);48;Toledo
270;1Compra;7.45;64;Boleto;Feminino;Casado(a);39;Guarapuava
271;Retorno;6.72;57;Boleto;Feminino;Casado(a);34;Francisco Beltrão
272;Retorno;7.76;120;Boleto;Feminino;Solteiro(a);41;Colombo
273;Regular;5.86;54;Visa;Feminino;Casado(a);50;Toledo
274;Retorno;4.72;92;Boleto;Feminino;Solteiro(a);53;Pato Branco
275;Retorno;4.3;122;Visa;Feminino;Casado(a);60;Foz do Iguaçu
276;Retorno;4.07;36;Boleto;Feminino;Solteiro(a);43;Francisco Beltrão
277;Retorno;6.21;76;Visa;Feminino;Casado(a);32;Pato Branco
278;Regular;6.52;48;Boleto;Feminino;Casado(a);38;Toledo
279;Retorno;6.02;64;Visa;Feminino;Solteiro(a);28;Toledo
280;1Compra;6.37;113;Boleto;Masculino;Solteiro(a);35;Maringá
281;Retorno;6.46;66;Boleto;Feminino;Solteiro(a);38;Guarapuava
282;Retorno;7.77;33;Boleto;Feminino;Solteiro(a);25;Guarapuava
283;Retorno;6.19;75;Visa;Feminino;Solteiro(a);28;Maringá
284;Retorno;4.58;107;Boleto;Feminino;Solteiro(a);33;Toledo
285;Retorno;4.38;75;Visa;Feminino;Casado(a);24;Francisco Beltrão
286;1Compra;7.58;66;Boleto;Feminino;Casado(a);33;Colombo
287;Regular;7.37;39;Boleto;Feminino;Casado(a);31;Colombo
288;1Compra;4.31;69;Boleto;Feminino;Solteiro(a);53;Francisco Beltrão
289;Retorno;5.13;77;Visa;Feminino;Solteiro(a);42;Maringá
290;Regular;6.85;150;Boleto;Feminino;Casado(a);25;Toledo
291;Retorno;5.71;107;Boleto;Feminino;Casado(a);27;Pato Branco
292;Regular;8.33;66;Boleto;Feminino;Solteiro(a);39;Francisco Beltrão
293;Retorno;6.22;81;Boleto;Feminino;Casado(a);29;Guarapuava
294;Retorno;4.94;90;Boleto;Feminino;Casado(a);35;Foz do Iguaçu
295;1Compra;6.92;97;Boleto;Feminino;Casado(a);36;Foz do Iguaçu
296;Retorno;6.88;86;Boleto;Feminino;Casado(a);53;Guarapuava
297;Retorno;7.12;48;Boleto;Feminino;Solteiro(a);45;Francisco Beltrão
298;Retorno;4.78;64;Boleto;Feminino;Casado(a);40;Maringá
299;1Compra;6.95;106;MasterCard;Feminino;Solteiro(a);23;Francisco Beltrão
300;Retorno;9.22;44;Boleto;Feminino;Casado(a);40;Foz do Iguaçu
301;1Compra;6.42;101;Boleto;2;Solteiro(a);26;Pato Branco
302;1Compra;5.45;76;Boleto;Feminino;Casado(a);33;Guarapuava
303;Regular;6.44;74;Boleto;Feminino;Casado(a);37;Guarapuava
304;1Compra;9.12;112;Boleto;Feminino;Casado(a);25;Pato Branco
305;Regular;4.08;61;Boleto;Feminino;Solteiro(a);47;Pato Branco
306;1Compra;6.08;143;Boleto;Feminino;Casado(a);32;Pato Branco
307;Retorno;5.85;101;Boleto;Feminino;Solteiro(a);35;Foz do Iguaçu
308;1Compra;7.41;83;Boleto;Feminino;Solteiro(a);33;Pato Branco
309;1Compra;7.62;45;Boleto;Feminino;Casado(a);58;Toledo
310;Retorno;8.41;22;Boleto;Feminino;Solteiro(a);46;Guarapuava
311;Retorno;4.19;31;Boleto;Feminino;Solteiro(a);40;Guarapuava
312;1Compra;7.21;63;Boleto;Feminino;Casado(a);44;Curitiba0
313;Retorno;6.62;86;Boleto;Feminino;Casado(a);33;Pato Branco
314;Regular;7.13;69;Boleto;Feminino;Casado(a);38;Pato Branco
315;Retorno;6.79;75;Boleto;Feminino;Casado(a);43;Pato Branco
316;Retorno;5.83;74;Visa;Feminino;Casado(a);48;Pato Branco
317;1Compra;7.86;131;Boleto;Feminino;Solteiro(a);34;Guarapuava
318;Retorno;6.75;65;Boleto;Feminino;Casado(a);51;Francisco Beltrão
319;1Compra;6;131;Boleto;Feminino;Solteiro(a);33;Guarapuava
320;Retorno;6.02;57;Boleto;Feminino;Solteiro(a);30;Pato Branco
321;Retorno;5.97;13;Boleto;Feminino;Casado(a);52;Foz do Iguaçu
322;Regular;4.23;44;Boleto;Feminino;Solteiro(a);30;Pato Branco
323;Retorno;6.73;89;Boleto;Feminino;Casado(a);44;Pato Branco
324;Regular;6.36;78;Boleto;Feminino;Casado(a);29;Foz do Iguaçu
325;Retorno;7.02;75;Boleto;Feminino;Casado(a);25;Francisco Beltrão
326;Regular;5.78;10;Boleto;Feminino;Casado(a);33;Foz do Iguaçu
327;Regular;7.23;13;Boleto;Masculino;Casado(a);27;Francisco Beltrão
328;1Compra;7.68;77;Boleto;Masculino;Casado(a);27;Pato Branco
329;1Compra;7.94;66;Boleto;Feminino;Solteiro(a);27;Foz do Iguaçu
330;Retorno;4.43;86;Boleto;Feminino;Casado(a);28;Foz do Iguaçu
331;Regular;6.98;41;Boleto;Feminino;Casado(a);27;Pato Branco
332;1Compra;5.71;47;Boleto;Feminino;Solteiro(a);25;Pato Branco
333;1Compra;4.97;43;Visa;Feminino;Casado(a);30;Maringá
334;Regular;7.13;37;Boleto;Feminino;Solteiro(a);43;Guarapuava
335;1Compra;8.01;75;Boleto;Feminino;Solteiro(a);26;Pato Branco
336;Retorno;7.7;5;Boleto;Feminino;Solteiro(a);44;Guarapuava
337;Retorno;6.34;81;Boleto;Feminino;Casado(a);37;Colombo
338;1Compra;5.32;61;Boleto;Masculino;Casado(a);24;Francisco Beltrão
339;Retorno;5.67;64;Boleto;Feminino;Solteiro(a);27;Pato Branco
340;Regular;4.59;66;Boleto;Feminino;Solteiro(a);39;Toledo
341;1Compra;6.17;45;Boleto;Masculino;Casado(a);24;Toledo
342;Regular;5.64;23;Boleto;Feminino;Casado(a);40;Toledo
343;1Compra;7;77;Boleto;Feminino;Solteiro(a);53;Colombo
344;Regular;4.46;84;Boleto;Feminino;Casado(a);47;Toledo
345;1Compra;6.84;43;Boleto;Feminino;Casado(a);38;Pato Branco
346;1Compra;7.39;33;Visa;Feminino;Solteiro(a);43;Foz do Iguaçu
347;1Compra;4.83;59;Boleto;Feminino;Casado(a);28;Guarapuava
348;Retorno;6.63;63;Boleto;Feminino;Casado(a);31;Francisco Beltrão
349;Retorno;6.86;120;Boleto;Feminino;Casado(a);34;Guarapuava
350;Regular;7.39;100;Boleto;Feminino;Casado(a);55;Foz do Iguaçu
351;Regular;5.69;95;MasterCard;Feminino;Casado(a);57;Francisco Beltrão
352;1Compra;6.42;250;Boleto;Feminino;Casado(a);27;Colombo
353;Retorno;5.4;160;Visa;Feminino;Casado(a);48;Guarapuava
354;Retorno;6.83;130;Visa;Feminino;Solteiro(a);39;Foz do Iguaçu
355;Retorno;7.82;170;Visa;Feminino;Solteiro(a);34;Colombo
356;Regular;5.8;110;Boleto;Feminino;Casado(a);41;Colombo
357;Retorno;4.66;100;Boleto;Feminino;Casado(a);50;Curitiba0
358;1Compra;4.76;105;Boleto;Feminino;Solteiro(a);53;Maringá
